Angular Second Moment;Contrast;Correlation;Sum of Squares: Variance;Inverse Difference Moment;Sum Average;Sum Variance;Sum Entropy;Entropy;Difference Variance;Difference Entropy;Information Measure of Correlation 1;Information Measure of Correlation 2;Maximal Correlation Coefficient;Label
0.0023680928369747734;9.979350306930463;0.9878626858822379;411.1144879650019;0.4316812237258349;342.2818126045708;1634.4786015530844;7.095244010470328;9.496905626416574;0.000784361362867818;2.737208510168333;-0.4448096734734713;0.9975578966470902;3.112194186902326;1.0
0.001692537265576783;9.88260379161742;0.991323963469793;570.2710763100531;0.39274599747486744;327.48166521011876;2271.2017014485755;7.362872563677325;9.8050925279866;0.0008365248265112635;2.7566059091887514;-0.46223614583575034;0.9984552738888656;3.279128549364671;1.0
0.00204197821915263;10.810197066827545;0.9936418388828554;850.5337554061034;0.399094028691105;316.35855441695355;3391.324824557614;7.426787437083132;9.82391452613324;0.0008784876743506784;2.8105396802121447;-0.4749865373162819;0.9987622292519933;3.473780013892119;1.0
0.0017672090758231798;10.636360917679632;0.9921751740112295;680.1218012722757;0.3757046604847866;296.1875223370487;2709.8508441714293;7.261826264836511;9.766692949265572;0.0008479412718561095;2.804954510503209;-0.4441532046199853;0.9978933969108044;3.411885824373536;1.0
0.0021808806569716343;12.499173870700925;0.9920659253283297;788.8862032288198;0.3863871547600193;295.337448771312;3143.0456390445725;7.139142843765017;9.643198952486536;0.0008157367363119338;2.876941871028709;-0.43416223991271563;0.997291273519303;3.545428009261396;1.0
0.0018850726156333984;15.001498765307511;0.9903951235097659;781.7738956909261;0.3873598732165429;321.96157984726966;3112.0940839983778;7.315317153449526;9.867703632232997;0.0007371056584504221;2.928757345217948;-0.44129652728524854;0.9979177644650623;3.482601553890889;1.0
0.0021573484275161266;7.970267009241956;0.995535766555008;893.1639252239966;0.43894830425660447;339.6706660884979;3564.6854338867342;7.490266176664119;9.719597584874435;0.0008977602086184659;2.614720163954891;-0.5059932746909512;0.9992305375048139;3.025125258035409;1.0
0.0018000683259753526;8.720584543274674;0.9963451858705539;1193.274442239027;0.41631738401799157;319.7643642595332;4764.377184412828;7.58140861233357;9.873173791953164;0.0008946751611976517;2.6924953435566534;-0.5029253564602486;0.9992772302468833;3.2259227812016995;1.0
0.0025636107442079097;10.392162914219753;0.9965987711392097;1527.9082597699853;0.4060189778023614;299.57506845227863;6101.2408761657425;7.63063021376656;9.95682076082919;0.0008793626363221617;2.7822081031763157;-0.5030715247053061;0.9993176744516825;3.339446575851666;1.0
0.0036556234058928785;17.619806150817663;0.9942857663905019;1542.4890304519677;0.45946191714761203;311.7271513015819;6152.336315657078;7.259515857563761;9.515109322814762;0.0008251220544718778;2.8722283982193284;-0.48704809410830163;0.9987829672429247;3.8200546818214116;1.0
0.0020403162441126445;14.522855510752688;0.9942445923321273;1262.2122088388269;0.3865765291340332;317.59109490337113;5034.325979844529;7.570441045426255;10.064312881483048;0.0007408386220175529;2.9746115451301374;-0.4723618457342851;0.9988878317306207;3.4989556980693837;1.0
0.0019067454732710374;7.3065216180943775;0.9959481263870149;901.6690838910472;0.4492421760441594;335.4312260188974;3599.369813946072;7.6196156861511275;9.818826481667944;0.0009119538426301944;2.5769292068241074;-0.5209906136874708;0.9994503045040444;2.976109436169474;1.0
0.0017543277603671416;10.443838103104786;0.9957411849454566;1226.7820813706358;0.4118756725427318;302.92752569918133;4896.684487379436;7.619015254567322;9.97026751172004;0.0008614595190738128;2.79833191933718;-0.4972553905931633;0.999244601685162;3.2123093519612875;1.0
0.0017831481678579125;13.520383449447134;0.9946679838178745;1268.5912095503636;0.4093984991430517;287.047331504911;5060.844454752034;7.650794756640147;10.07792099953899;0.0008505336546724817;2.9135419365739468;-0.4893577466350791;0.9991837202645799;3.380494335765034;1.0
0.0023979158492774036;19.634217492849775;0.9939011513847475;1610.2425848341381;0.4141279457538549;308.2466984040932;6421.336121843695;7.350938956496105;9.756885272292655;0.0008053453404995979;2.970936851654987;-0.4688028084823173;0.9985863722256554;3.823437069290691;1.0
